date,hour,price,volume
31.05.2023,18,3994.79,2047.7
31.05.2023,19,4000.0,2150.4
31.05.2023,20,4000.0,2257.3
31.05.2023,21,4000.0,2674.9
31.05.2023,22,4000.0,2652.2
31.05.2023,23,4000.0,2136.7
31.05.2023,24,2000.0,1858.3
01.06.2023,1,2000.0,1932.4
01.06.2023,2,2000.0,2005.6
01.06.2023,3,1995.92,1851.5
01.06.2023,4,2000.0,1811.2
01.06.2023,5,2000.0,1817.6
01.06.2023,6,2000.0,1898.3
01.06.2023,7,2000.0,2470.8
01.06.2023,8,3994.8,2502.3
01.06.2023,9,3979.8,2470.7
01.06.2023,10,3250.0,2421.0
01.06.2023,11,2646.25,1800.9
01.06.2023,12,2646.25,1236.8
01.06.2023,13,2646.25,1067.7
01.06.2023,14,2646.25,1091.9
01.06.2023,15,2646.25,1173.5
01.06.2023,16,2646.25,1291.0
01.06.2023,17,3330.0,1637.7
01.06.2023,18,3994.59,2046.2
01.06.2023,19,4000.0,2016.2
01.06.2023,20,4000.0,2035.6
01.06.2023,21,4000.0,2483.3
01.06.2023,22,4000.0,2428.5
01.06.2023,23,4000.0,2032.7
01.06.2023,24,2000.0,1978.0
02.06.2023,1,2000.0,1800.0
02.06.2023,2,2000.0,1818.0
02.06.2023,3,2000.0,1723.5
02.06.2023,4,2000.0,1656.9
02.06.2023,5,2000.0,1662.7
02.06.2023,6,2000.0,1753.0
02.06.2023,7,2000.0,2202.9
02.06.2023,8,4000.0,2354.8
02.06.2023,9,3996.09,2460.7
02.06.2023,10,3018.0,2147.7
02.06.2023,11,2646.25,1550.5
02.06.2023,12,2646.25,929.8
02.06.2023,13,2646.25,780.4
02.06.2023,14,2646.25,780.1
02.06.2023,15,2646.25,963.0
02.06.2023,16,2646.25,1060.8
02.06.2023,17,2646.25,1723.1
02.06.2023,18,3100.0,1761.2
02.06.2023,19,4000.0,2046.4
02.06.2023,20,4000.0,1895.6
02.06.2023,21,4000.0,2533.5
02.06.2023,22,4000.0,2576.5
02.06.2023,23,4000.0,2006.7
02.06.2023,24,2000.0,2211.9
03.06.2023,1,2000.0,1621.8
03.06.2023,2,2000.0,1640.4
03.06.2023,3,2000.0,1623.1
03.06.2023,4,2000.0,1556.0
03.06.2023,5,2000.0,1540.1
03.06.2023,6,2000.0,1642.7
03.06.2023,7,2000.0,1823.4
03.06.2023,8,3996.6,2095.4
03.06.2023,9,4000.0,2101.1
03.06.2023,10,3989.69,2314.9
03.06.2023,11,2646.25,1522.0
03.06.2023,12,2646.25,1325.1
03.06.2023,13,2646.25,1073.7
03.06.2023,14,2646.25,1030.4
03.06.2023,15,2646.25,998.9
03.06.2023,16,2646.25,1064.7
03.06.2023,17,2646.25,1328.7
03.06.2023,18,3774.0,1934.1
03.06.2023,19,4000.0,2128.4
03.06.2023,20,4000.0,1962.5
03.06.2023,21,4000.0,2469.6
03.06.2023,22,4000.0,2448.1
03.06.2023,23,4000.0,1907.0
03.06.2023,24,2000.0,1779.0
04.06.2023,1,2000.0,1268.1
04.06.2023,2,2000.0,1194.2
04.06.2023,3,2000.0,1159.4
04.06.2023,4,2000.0,1256.9
04.06.2023,5,2000.0,1311.7
04.06.2023,6,2000.0,1450.7
04.06.2023,7,2000.0,1895.3
04.06.2023,8,3225.0,1910.6
04.06.2023,9,2646.25,1868.0
04.06.2023,10,2646.25,1833.8
04.06.2023,11,2646.25,1043.6
04.06.2023,12,2646.25,845.1
04.06.2023,13,2646.25,706.1
04.06.2023,14,2646.25,556.1
04.06.2023,15,2646.25,586.2
04.06.2023,16,2646.25,743.8
04.06.2023,17,2646.25,997.2
04.06.2023,18,3978.0,1794.4
04.06.2023,19,3994.58,1837.1
04.06.2023,20,4000.0,2020.9
04.06.2023,21,4000.0,2439.6
04.06.2023,22,4000.0,2250.6
04.06.2023,23,4000.0,2078.9
04.06.2023,24,2000.0,1632.9
05.06.2023,1,2000.0,1396.6
05.06.2023,2,2000.0,1470.4
05.06.2023,3,2000.0,1474.6
05.06.2023,4,2000.0,1394.5
05.06.2023,5,2000.0,1380.8
05.06.2023,6,2000.0,1755.7
05.06.2023,7,2000.0,2038.0
05.06.2023,8,4000.0,2333.7
05.06.2023,9,4000.0,2151.0
05.06.2023,10,3995.69,2257.9
05.06.2023,11,2646.25,1472.0
05.06.2023,12,2646.25,957.6
05.06.2023,13,2646.25,748.8
05.06.2023,14,2646.25,686.8
05.06.2023,15,2646.25,1019.0
05.06.2023,16,2646.25,982.0
05.06.2023,17,3990.61,1277.1
05.06.2023,18,4000.0,1813.1
05.06.2023,19,4000.0,1928.7
05.06.2023,20,4000.0,1854.8
05.06.2023,21,4000.0,2525.0
05.06.2023,22,4000.0,2441.0
05.06.2023,23,4000.0,1922.5
05.06.2023,24,2000.0,1493.9
06.06.2023,1,2000.0,1249.9
06.06.2023,2,2000.0,1330.4
06.06.2023,3,2000.0,1320.0
06.06.2023,4,2000.0,1228.8
06.06.2023,5,2000.0,1220.4
06.06.2023,6,2000.0,1384.5
06.06.2023,7,2000.0,1750.1
06.06.2023,8,4000.0,2298.3
06.06.2023,9,3994.62,2243.9
06.06.2023,10,3220.0,2036.5
06.06.2023,11,2646.25,1640.7
06.06.2023,12,2646.25,1084.3
06.06.2023,13,2646.25,900.8
06.06.2023,14,2646.25,890.5
06.06.2023,15,2646.25,1334.7
06.06.2023,16,2646.25,1346.9
06.06.2023,17,3994.58,1652.9
06.06.2023,18,4000.0,1972.4
06.06.2023,19,4000.0,1944.5
06.06.2023,20,4000.0,1609.5
06.06.2023,21,4000.0,2020.5
06.06.2023,22,4000.0,1926.1
06.06.2023,23,4000.0,1544.6
06.06.2023,24,2000.0,1294.7
07.06.2023,1,2000.0,1265.5
07.06.2023,2,2000.0,1335.1
07.06.2023,3,2000.0,1327.1
07.06.2023,4,2000.0,1252.7
07.06.2023,5,2000.0,1244.1
07.06.2023,6,2000.0,1372.7
07.06.2023,7,2000.0,1754.3
07.06.2023,8,4000.0,2096.6
07.06.2023,9,3994.59,1961.7
07.06.2023,10,3994.6,2133.0
07.06.2023,11,2646.25,1639.6
07.06.2023,12,2646.25,1112.8
07.06.2023,13,2646.25,899.9
07.06.2023,14,2646.25,935.4
07.06.2023,15,2646.25,1375.0
07.06.2023,16,2646.25,1413.6
07.06.2023,17,4000.0,1653.5
07.06.2023,18,4000.0,1781.9
07.06.2023,19,4000.0,1771.1
07.06.2023,20,4000.0,1612.8
07.06.2023,21,4000.0,1920.2
07.06.2023,22,4000.0,1838.0
07.06.2023,23,4000.0,1485.7
07.06.2023,24,2000.0,1304.9
08.06.2023,1,2000.0,1383.3
08.06.2023,2,2000.0,1410.3
08.06.2023,3,2000.0,1441.5
08.06.2023,4,2000.0,1360.0
08.06.2023,5,2000.0,1371.9
08.06.2023,6,2000.0,1533.1
08.06.2023,7,2000.0,1873.1
08.06.2023,8,4000.0,2500.4
08.06.2023,9,4000.0,2579.2
08.06.2023,10,4000.0,2265.8
08.06.2023,11,3995.32,2173.6
08.06.2023,12,2646.25,1237.1
08.06.2023,13,2646.25,1027.0
08.06.2023,14,2646.25,1076.1
08.06.2023,15,2646.25,1446.6
08.06.2023,16,2646.25,1568.0
08.06.2023,17,3994.58,1882.8
08.06.2023,18,3994.61,1943.7
08.06.2023,19,4000.0,1851.2
08.06.2023,20,4000.0,1657.9
08.06.2023,21,4000.0,2014.7
08.06.2023,22,4000.0,1952.7
08.06.2023,23,4000.0,1471.2
08.06.2023,24,2000.0,1415.3
09.06.2023,1,2000.0,1533.8
09.06.2023,2,2000.0,1641.3
09.06.2023,3,2000.0,1664.0
09.06.2023,4,2000.0,1584.2
09.06.2023,5,2000.0,1610.1
09.06.2023,6,2000.0,1762.9
09.06.2023,7,2000.0,1990.4
09.06.2023,8,4000.0,2346.9
09.06.2023,9,4000.0,2446.5
09.06.2023,10,3994.5,2498.7
09.06.2023,11,2950.0,2318.2
09.06.2023,12,2646.25,1326.5
09.06.2023,13,2646.25,1075.1
09.06.2023,14,2646.25,1080.6
09.06.2023,15,2646.25,1515.1
09.06.2023,16,2646.25,1638.2
09.06.2023,17,3978.0,2293.3
09.06.2023,18,3978.0,2130.0
09.06.2023,19,3995.31,2307.5
09.06.2023,20,4000.0,2321.7
09.06.2023,21,4000.0,2824.8
09.06.2023,22,4000.0,2782.0
09.06.2023,23,4000.0,2184.6
09.06.2023,24,2000.0,1701.2
10.06.2023,1,2000.0,1444.7
10.06.2023,2,2000.0,1564.7
10.06.2023,3,2000.0,1614.1
10.06.2023,4,2000.0,1540.8
10.06.2023,5,2000.0,1550.9
10.06.2023,6,2000.0,1695.7
10.06.2023,7,2000.0,1918.3
10.06.2023,8,3865.0,2339.3
10.06.2023,9,3994.59,2541.2
10.06.2023,10,3994.79,2689.4
10.06.2023,11,3150.0,2565.6
10.06.2023,12,2646.25,1711.1
10.06.2023,13,2646.25,1400.5
10.06.2023,14,2646.25,1339.6
10.06.2023,15,2646.25,1295.2
10.06.2023,16,2646.25,1389.5
10.06.2023,17,2646.25,2069.9
10.06.2023,18,2646.25,1700.2
10.06.2023,19,3774.0,1962.9
10.06.2023,20,3996.1,2215.2
10.06.2023,21,4000.0,2719.0
10.06.2023,22,4000.0,2752.0
10.06.2023,23,4000.0,2081.6
10.06.2023,24,2000.0,1675.7
11.06.2023,1,2000.0,1207.0
11.06.2023,2,2000.0,1249.4
11.06.2023,3,2000.0,1307.9
11.06.2023,4,2000.0,1238.0
11.06.2023,5,2000.0,1257.6
11.06.2023,6,2000.0,1386.6
11.06.2023,7,2000.0,1585.8
11.06.2023,8,3994.6,2169.3
11.06.2023,9,3995.91,2407.8
11.06.2023,10,3994.61,2421.9
11.06.2023,11,3990.87,2054.7
11.06.2023,12,2646.25,1516.0
11.06.2023,13,2646.25,1320.9
11.06.2023,14,2646.25,1157.6
11.06.2023,15,2646.25,1077.0
11.06.2023,16,2646.25,1059.8
11.06.2023,17,3528.0,1539.2
11.06.2023,18,2646.25,1329.2
11.06.2023,19,4000.0,1706.9
11.06.2023,20,4000.0,1924.0
11.06.2023,21,4000.0,2536.0
11.06.2023,22,4000.0,2559.8
11.06.2023,23,4000.0,1909.2
11.06.2023,24,2000.0,1282.8
